127.0.0.1 - - [16/Feb/2022:09:37:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:37:31 +0530] "GET /BankingFrontend/register.html HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:37:32 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 200 8202
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:37:45 +0530] "GET /BankingFrontend/images/Banklog.jjpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:37:51 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:37:51 +0530] "GET /BankingFrontend/images/Banklog.jpg HTTP/1.1" 200 279073
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:37:56 +0530] "GET /BankingFrontend/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:37:56 +0530] "GET /BankingFrontend/images/Banklog.jjpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:38:25 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:38:25 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:38:25 +0530] "GET /BankingFrontend/images/Banklog.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:38:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:38:30 +0530] "GET /BankingFrontend/register.html HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:38:30 +0530] "GET /BankingFrontend/images/Banklog.jjpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:40:31 +0530] "GET /BankingFrontend/register.html HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:40:31 +0530] "GET /BankingFrontend/images/Banklog.jjpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:11:24 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:11:25 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:11:36 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3334
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:11:36 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:11:36 +0530] "GET /BankingFrontend/css/navbar-top-fixed.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:11:36 +0530] "GET /BankingFrontend/images/bank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:11:41 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:11:42 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:12:18 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:14:20 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:14:20 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:14:43 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:15:41 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:15:49 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3487
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:15:49 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:18:27 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:18:39 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:18:39 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:21:13 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:21:13 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:22:22 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:22:30 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:22:30 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:15 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:15 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:15 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 200 8424
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:16 +0530] "GET /BankingFrontend/css/navbar-top-fixed.css HTTP/1.1" 200 90
